proteins	coph	avg_shufcophs	coph_enrichment	t_coph	p_coph	SNR	avg_shufSNRs	SNR_enrichment	t_snr	p_snr
['ATF1', 'ATF2', 'CREB1', 'ATF4', 'CREB3']	1577.7327256940268	1554.761185330002	1.0147749638856267	-0.870952910512114	0.8070565181213087	1.7640926791907443	0.9670671324926586	1.824167754149308	-38.74996915753855	6.138412198714112e-62
['ZZZ3', 'DR1', 'YEATS2']	714.9581291702438	1531.8411956780394	0.46673123244592046	16.73730082744347	6.30550630146659e-31	1.7639295096433678	1.0363233539173715	1.702103405250491	-17.757423301705764	7.681510925273276e-33
['TCF3', 'EP300', 'TCF12', 'CBFB', 'GATA2']	1597.5725502490063	1505.1091026751085	1.0614330531983083	-2.893300965717706	0.9976557327491555	1.7618473596469335	1.0048218547487222	1.7533927544674297	-35.048257934198794	6.518553394567965e-58
['SNAPC4', 'SNAPC5', 'TBP', 'POU2F1', 'SNAPC2']	1670.6617408939808	1528.2079053259708	1.0932162666293916	-4.743443151271579	0.9999964654779968	1.7548983686155588	1.0091843915750949	1.7389273786493895	-38.11651266771052	2.835572394908004e-61
['RARA', 'RXRB', 'NCOA2', 'RARG', 'PPARG', 'MED1', 'NCOA1', 'HDAC1', 'NR0B2', 'RXRA']	1310.3404306393068	1525.4802713452143	0.8589691097635823	10.54728560494209	3.511299553856329e-18	1.7544674509294012	0.981137088393752	1.7881980731170715	-64.95451444033465	2.779330058348174e-83
['PAX8', 'RXRB', 'PPARG', 'SMAD3', 'RXRA']	1609.0861800233765	1555.9815307468555	1.0341293570824273	-1.7300149670156648	0.9566280478347766	1.749734846955704	0.9599744343551997	1.8226890053910387	-41.72322142875318	6.1835956879303385e-65
['GATA4', 'NFATC3', 'SRF', 'KDM6A', 'EP300', 'NR5A1']	1490.4298915199095	1492.917252082648	0.9983338925454384	0.09089516482078482	0.4638797743553891	1.7449603096972242	0.9746859615326148	1.7902795141867185	-43.776199502324786	6.780237581106982e-67
['GATA2', 'TCF3']	2289.425738652365	1630.8565756110977	1.4038179524122132	-8.60105616344233	0.9999999999999392	1.7237864028421577	0.9881129919850754	1.7445235684829392	-14.22001317084149	5.840415124254727e-26
['USF1', 'EP300', 'USF2', 'MED1', 'SP1']	1020.8821950411733	1461.7067766851035	0.6984179120769738	14.288526964341209	4.2347294834055284e-26	1.7082574729072135	1.0105111690882802	1.6904884628325934	-23.577515912257038	1.0474347754488145e-42
['MXD1', 'MAX', 'MYC']	1659.0884416503875	1535.526435593161	1.0804688237161448	-2.522880311409076	0.9933837994790743	1.6696925158090803	0.9768458957806517	1.7092691109427618	-19.798726664197293	1.6814340469668102e-36
['DRAP1', 'TBP', 'DR1']	1634.3426237460465	1425.0219956613123	1.1468894015124267	-4.327639835866175	0.9999819644898109	1.6690963005813886	1.0613688450641983	1.572588368636759	-17.357585650191766	4.2550904890632443e-32
['YEATS2', 'DR1', 'DMAP1', 'ZZZ3']	617.8802011232756	1534.8646931347198	0.4025633033888821	25.20007232662104	3.6601258507591224e-45	1.6668614019491625	1.031259949359945	1.6163348561957689	-23.830581458315194	4.257844022998719e-43
['CBFB', 'EP300', 'TCF3']	1610.4954550214754	1487.9806322266522	1.0823363020602552	-2.4903316793795733	0.9927863919182148	1.636390191316614	1.0186609450061717	1.606413006544292	-20.883008027723037	2.354292715633304e-38
['ELF3', 'ELF4']	2289.425738652365	1586.1848645357452	1.4433536656664852	-9.697570882102879	0.9999999999999998	1.6310870666043242	1.0301224262619275	1.5833914736942059	-11.65808454414025	1.3866710847536754e-20
['ELF4', 'ELF3']	2289.425738652365	1586.1848645357452	1.4433536656664852	-9.697570882102879	0.9999999999999998	1.6310870666043242	1.0301224262619275	1.5833914736942059	-11.65808454414025	1.3866710847536754e-20
['PPARG', 'ESRRA', 'RELA', 'NCOA1', 'RXRB', 'RARA', 'KDM3A', 'NCOA2', 'EGR1', 'SMAD3', 'MED1', 'EP300', 'PAX8', 'NR0B2', 'RXRA']	1536.5122107503248	1503.4556828691423	1.0219870317814082	-2.547353515423406	0.9938033291567764	1.61374323595891	1.008918843119556	1.599477744879112	-66.5698818453955	2.5773450651987792e-84
['TOPORS', 'TP53', 'BRCA1']	1039.3593322643192	1510.7141477295017	0.6879920558276388	9.644076338290018	3.2699615327289904e-16	1.6051341234403826	0.979821063748615	1.6381910767456203	-23.880116985081184	3.57280985439256e-43
['GATAD2B', 'HDAC2', 'GATAD2A', 'MTA1', 'HDAC1']	1530.8198210906237	1486.920197774309	1.0295238597081577	-1.3410027740947665	0.9085058993091665	1.5813301957419108	1.0192393872799557	1.5514806584957503	-25.844366654961313	4.167452238104297e-46
['BCL6', 'HDAC2', 'GATAD2B', 'GATAD2A', 'KDM1A', 'MTA1', 'HDAC1']	1412.1313777342932	1519.7586006525612	0.9291813694148172	4.890223012136022	1.9489528489879843e-06	1.5804652099498264	1.027972668280211	1.5374583962372563	-32.73156288625161	3.334323912003482e-55
['MEF2D', 'EP300', 'SRF', 'MEF2A', 'NFATC3']	1654.06867559016	1519.501757380374	1.0885598963977374	-5.003581165887112	0.9999987775569572	1.5786894984812403	0.9863412423650592	1.6005510371804412	-30.539885256833898	1.725102849941694e-52
['JUN', 'RELA', 'ATF7', 'ATF3', 'CREB1', 'BATF2', 'JUNB', 'SMAD4', 'JUND', 'TP53', 'FOSL1', 'ATF4', 'ATF2', 'IRF1', 'FOSL2', 'TAF1', 'MED1', 'NCOA1', 'SP1', 'SMAD3', 'HNF4A', 'EP300', 'HDAC1']	1574.7699404233435	1506.556142695924	1.0452779659477898	-5.850516598180356	0.9999999682451334	1.5677352606817365	0.9921372382283475	1.5801596798052155	-75.42445714002807	1.3963988453008284e-89
['CEBPD', 'SMAD4', 'SMAD3']	1754.2521595595924	1436.2982974820907	1.221370353661835	-6.218006010943575	0.9999999939778553	1.5654107307003322	1.0502636030706831	1.4904931734504556	-10.956646728900685	4.532591353265789e-19
['YEATS4', 'KAT8', 'ATF2', 'PHF20', 'DMAP1']	1560.2482013626518	1540.6003483612888	1.0127533743726997	-0.6941757278761427	0.7554011128925485	1.5577809136891794	0.9879136576186036	1.5768391313105827	-28.05271511192928	3.267807017235599e-49
['GATAD2A', 'HDAC2', 'GATAD2B', 'KDM1A', 'MTA1', 'HDAC1']	1494.4873239485985	1492.5234221944381	1.0013158264218547	-0.0707241788183778	0.528120025884837	1.5420942237017405	1.0196577156972557	1.51236459055011	-31.173456951029753	2.7309633434038637e-53
['FOXO1', 'NCOA2', 'CREB1', 'STAT5B', 'MED1', 'NCOA1', 'SMAD3', 'JUN', 'TP53']	1564.6372307915449	1509.1689049279876	1.0367542199434623	-2.6753888474195304	0.9956323852694738	1.5346692261354045	0.9843133414856712	1.5591267144861156	-47.137733167065676	6.231731366520599e-70
