protein,average_distance_to_tss
ZC3H13,28673.362929816296
MIER2,164279.59099633573
BRCA1,50844.11788784282
ZNF25,46871.017676767675
ZNF331,98248.13535369396
POLR2G,106628.82335047667
RERE,127766.47766599598
NR1H2,41734.64119291706
ZC3H4,33932.0961038961
MXI1,45150.11664544876
NKX3,71362.54112554113
E2F8,61677.26357335387
ZNF558,38271.022942461765
KAT7,39407.328872437356
MEF2D,79534.51189464741
ZNF562,72017.70400943396
KDM2A,64349.92300105208
NFIA,122279.90394745844
KDM5B,49585.61817572848
ZNF511,62846.11087719298
ZSCAN31,47495.044750430294
ZNF574,69954.49513307048
ZNF720,62232.77659574468
IRF5,36987.52719298246
IKZF4,40762.169197396965
ZFP82,36935.512415349884
KAT2B,207600.96089082022
MYPOP,64376.83111898435
ZNF512B,82899.17897271267
MAX,82662.72029510023
ZNF484,45398.43010752688
ZGPAT,79123.98565712527
ZNF407,43720.078835095526
GRHL1,48202.44
SUZ12,47779.46955503513
ZFP64,88406.70344827586
GMEB1,42299.10201553879
ZEB1,79667.63992226541
NFKB2,45515.86158950861
SNAPC4,47080.327487609604
RCOR1,57966.02159468438
ZKSCAN1,92831.02792041078
U2AF1,75551.33216538191
ZBTB49,68340.91747572816
XRCC5,126961.03506032647
ZHX1,48512.0673374613
ARNT2,45578.46351084812
ZNF778,36406.92082429501
POGK,56800.89837398374
GZF1,88900.25533890436
THAP4,37841.94972677596
PRMT3,38182.07943925234
CTCF,221211.02240077133
ZNF788,52910.76844403586
RBM22,102448.74251920744
USF2,130392.31860373906
TOPORS,48682.70969968933
ZNF549,83548.3649068323
MIXL1,119921.86189735614
ZSCAN20,56682.299033541785
IRF2,77161.85617644333
STAT6,61466.69702970297
GATAD2B,77767.53703703704
TRIM24,149627.7259905977
HMG20B,113143.27175954916
GATA2,149904.11027649033
YY1,56057.06474008505
EZH2,197880.39347408828
FOXO1,102779.34279439095
AHDC1,156699.90167322833
SP1,94387.09075645929
CERS6,42210.08996539792
SRF,77027.6139558233
ZNF483,47040.155906593405
MYNN,51010.854368932036
CEBPA,151050.9013119198
debug_file.bed,
DMTF1,34682.755681818184
GABPB1,86862.15693242928
FOXQ1,96469.54552294959
ATF7,361094.1332660097
TFE3,89807.35418583256
ZNF678,38496.442112879886
ZNF253,44547.598829648894
POGZ,106959.60225073471
SMYD3,61452.06761133603
HDAC2,93859.11769848643
ZNF616,74921.14783966684
ZNF431,68662.74563671622
MLX,92571.07009718019
EHMT2,189932.18911917097
ZBTB20,94730.98091528725
SMARCE1,202219.2968299712
PCBP1,127069.03464369054
ZFP37,56549.1609317099
SREBF2,30228.114035087718
ZNF292,94215.4922770304
MEIS2,74416.04656501066
ZNF280B,47183.463097713095
ZBTB4,53784.048397234445
NFKBIZ,85829.58683206108
MNT,287194.78738081636
ZNF207,151050.1004784689
BCL6,123240.91427249595
DBP,44258.92592592593
NFE2L1,41288.400234741785
CREB1,272962.62650706666
NFIL3,117859.86833123765
CSRNP1,40856.67743602998
ZNF274,50148.55649588289
AKAP8L,27016.105328376703
ZFHX3,134989.06647987774
PHF5A,55107.1560332871
ZNF362,98128.03596458871
ZNF136,45354.52300995025
ZNF749,40459.17462866319
ZIK1,37029.274903805046
HMGA1,30876.0
IRF9,41619.969525959365
H3K4me1,99303.73675951353
ZNF18,54694.40991822738
MXD1,38940.28865979381
JUNB,117282.76102735901
TIGD6,40629.60971579643
